77.0 & 76.7 & 76.1 & 71.4 & 57.6 & 73.1 & 72.4 & 77.2 \\
76.8 & 75.0 & 77.3 & 76.4 & 75.5 & 77.1 & 81.1 & 76.7 \\
77.5 & 77.7 & 77.0 & 76.4 & 68.9 & 74.2 & 79.3 & 76.9 \\
nan & nan & nan & 75.7 & 55.5 & 55.5 & 77.5 & 77.7 \\
